IT Tower;Service Family;Service Type;Service Sub Type;Service Usage Type;Product Code;Usage Type; [lineItem/Operation];lineItem/LineItemDescription
;;;;;AmazonEC2;%BoxUsage%;;
;;;;;AmazonEC2;;;Tax%
;;;;;ComputeSavingsPlans;ComputeSP%AllUpfront;;
;;;;;ComputeSavingsPlans;ComputeSP%NoUpfront;;
;;;;;AmazonEC2;%DedicatedUsage%;Surcharge;
;;;;;AmazonEC2;%DedicatedUsage%;;
;;;;;AmazonEC2;%HostUsage%;;
;;;;;AmazonEC2;%EGpuUsage%;;
;;;;;AmazonEC2;%SpotUsage%;;
;;;;;AmazonEC2;%CPUCredits%;;
;;;;;AmazonEC2;%Purchase%;;Sign up charge for subscription:%
;;;;;AmazonEC2;%ExchangeUsage;;
;;;;;AmazonEC2;%HeavyUsage%;;
;;;;;AmazonEC2RIResale2;%RIResaleServiceFee;;
;;;;;AmazonCloudFront;;;Tax%
;;;;;AmazonCloudFront;%Requests-Tier1;;
;;;;;AmazonCloudFront;%Requests-Tier1;;
;;;;;AmazonCloudFront;%Requests-Tier2-HTTPS;;
;;;;;AmazonCloudFront;%Requests-HTTP%;;
;;;;;AmazonCloudFront;%Invalidations;;
;;;;;AmazonCloudFront;%FMS-Out-Bytes;;
;;;;;AmazonCloudFront;%DataTransfer%;;
;;;;;AmazonCloudFront;SSL-Cert-Custom;;
;;;;;AmazonKendra;%KendraEnterpriseEdition;;
;;;;;AmazonKendra;%DocumentsScanned;;
;;;;;AmazonKendra;%ConnectorSync;;
;;;;;AmazonLex;;;Tax%
;;;;;AmazonLex;%Req%;;
;;;;;AmazonRoute53;;;Tax%
;;;;;AmazonRoute53;%Health-Check-Option-AWS;;
;;;;;AmazonRoute53;%Health-Check-AWS;;
;;;;;AmazonRoute53;%DNS-Queries;;
;;;;;AmazonRoute53;%LBR-Queries;;
;;;;;AmazonRoute53;%Intra-AWS-DNS-Queries;;
;;;;;AmazonRoute53;%HostedZone;;
;;;;;AmazonRoute53;%Health-Check-Non-AWS;;
;;;;;AmazonRoute53;%Traffic-Flow-Policy-Records;;
;;;;;AmazonRoute53;%Health-Check%;%Latency%;
;;;;;AmazonRoute53;%Health-Check-Option-Non-AWS;;
;;;;;AmazonRoute53;%Geo-Queries%;;
;;;;;AmazonRoute53;%ResolverNetworkInterface;;
