IT Tower;Service Family;Service Type;Service Sub Type;Service Usage Type;Meter Category;Meter Sub-Category;Meter Name;Consumed Service;;
;;;;;Azure Database for PostgreSQL;;;Microsoft.DBforMyQL;;
;;;;;Azure Database for PostgreSQL;;;Microsoft.DBforPostgreSQL;;
;;;;;Azure Databricks;;%Data Analytics%;Microsoft.Databricks;;
;;;;;Azure Databricks;;%Data Engineering%;Microsoft.Databricks;;
;;;;;Azure Monitor;Notifications;Webhook;microsoft.insights;;
;;;;;Azure Monitor;Notifications;Email;microsoft.insights;;
;;;;;Backup;Geo Redundant Storage;Standard IO - Block Blob (GB);Microsoft.RecoveryServices;;
;;;;;Backup;;GRS Data Stored;Microsoft.RecoveryServices;;
;;;;;Backup;;%Azure VM%Protected Instances;Microsoft.RecoveryServices;;
;;;;;Business Analytics;;Compute Hours;Microsoft.HDInsight;;
;;;;;Business Analytics;Data Factory;Data Movement Cloud;Microsoft.DataFactory;;
;;;;;Business Analytics;Data Factory;Data Movement On Premises;Microsoft.DataFactory;;
;;;;;Business Analytics;Data Factory;High Frequency Cloud Activity;Microsoft.DataFactory;;
;;;;;Business Analytics;Data Factory;High Frequency On Premises  Activity;Microsoft.DataFactory;;
;;;;;Business Analytics;Data Factory;Low Frequency On Premises  Activity;Microsoft.DataFactory;;
;;;;;Business Analytics;Data Factory;Low Frequency Cloud Activity;Microsoft.DataFactory;;
;;;;;Business Analytics;Data Lake Store;Data at Rest (GB);Microsoft.DataLakeStore;;
;;;;;Business Analytics;Data Lake Store;Transactions%;Microsoft.DataLakeStore;;
;;;;;Business Analytics;Stream Analytics;Standard SU (Hours);Microsoft.StreamAnalytics;;
;;;;;Business Analytics;Stream Analytics;Data Processed (GB);Microsoft.StreamAnalytics;;
;;;;;Business Analytics;Stream Analytics;Streaming Units (Hours);Microsoft.StreamAnalytics;;
;;;;;Stream Analytics;;%Streaming Unit;Microsoft.StreamAnalytics;;
;;;;;Cache;Azure Redis Cache;;Microsoft.Cache;;
;;;;;Redis Cache;;C%;Microsoft.Cache;;
;;;;;Redis Cache;;___C%;Microsoft.Cache;;
;;;;;CDN;CDN;Standard CDN Data Transfer%;Microsoft.Cdn;;
;;;;;Content Delivery Network;Azure CDN%;%Data Transfer;Microsoft.Cdn;;
;;;;;Cloud Services;Reservation;%License;Microsoft.Batch;;
;;;;;Cloud Services;A%;Compute Hours;Compute;;
;;;;;Cloud Services;D%;Compute Hours;Compute;;
;;;;;Cloud Services;F%;Compute Hours;Compute;;
;;;;;Cloud Services;G%;Compute Hours;Compute;;
;;;;;Cloud Services;H%;Compute Hours;Compute;;
;;;;;Cloud Services;N%;Compute Hours;Compute;;
;;;;;Cloud Services;;Compute Hours;Microsoft.Batch;;
;;;;;Cloud Services;A%;A%;%Compute;;
;;;;;Cloud Services;D%;D%;%Compute;;
;;;;;Cloud Services;F%;F%;%Compute;;
;;;;;Cloud Services;G%;G%;%Compute;;
;;;;;Cloud Services;H%;H%;%Compute;;
;;;;;Cloud Services;N%;N%;%Compute;;
;;;;;Cloud Services;D%;D%;Microsoft.Batch;;
