IT Tower;Service Family;Service Type;Service Sub Type;Service Usage Type;Meter Category;Meter Sub-Category;Meter Name;Consumed Service;[AdditionalInfo]
;;;;;Azure Data Factory;v2;Data Movement Self Hosted IR;Microsoft.DataFactory;
;;;;;Azure Data Factory;v2;Orchestration Self Hosted IR;Microsoft.DataFactory;
;;;;;Azure Data Factory;v2;%;Microsoft.DataFactory;
;;;;;Azure Data Factory;v2;Data Movement Cloud IR;Microsoft.DataFactory;
;;;;;Azure Data Factory;v2;Orchestration Cloud IR;Microsoft.DataFactory;
;;;;;Azure Data Factory;v2;SSIS STD D4 v2;Microsoft.DataFactory;
;;;;;Azure Database for PostgreSQL;;;Microsoft.DBforMyQL;
;;;;;Azure Database for PostgreSQL;;;Microsoft.DBforPostgreSQL;
;;;;;Azure Databricks;;%Data Analytics%;Microsoft.Databricks;
;;;;;Azure Databricks;;%Data Engineering%;Microsoft.Databricks;
;;;;;Cache;Azure Redis Cache;;Microsoft.Cache;
;;;;;Redis Cache;;C%;Microsoft.Cache;
;;;;;Redis Cache;;___C%;Microsoft.Cache;
;;;;;CDN;CDN;Standard CDN Data Transfer%;Microsoft.Cdn;
;;;;;Content Delivery Network;Azure CDN%;%Data Transfer;Microsoft.Cdn;
;;;;;Container Instances;Container Instances;Core Duration;Microsoft.ContainerInstance;
;;;;;Container Instances;Container Instances;Duration;Microsoft.ContainerInstance;
;;;;;Container Instances;Container Instances;Executions;Microsoft.ContainerInstance;
;;;;;Container Instances;;Memory Duration;Microsoft.ContainerInstance;
;;;;;Container Instances;;vCPU Duration;Microsoft.ContainerInstance;
;;;;;Machine Learning Studio;Production Web API;;Microsoft.MachineLearning;
;;;;;Bandwidth;;%Data Transfer%;Microsoft.MachineLearningServices;
;;;;;Bandwidth;;%Data Transfer%;Microsoft.Search;
;;;;;VPN Gateway;;%Gateway%;Microsoft.Network;
;;;;;VPN Gateway;;%Gw%;Microsoft.Network;
;;;;;VPN Gateway;;%Data Transfer%;Microsoft.Network;
;;;;;Traffic Manager;;%Azure Endpoint%;Microsoft.Network;
;;;;;Traffic Manager;;%Service Endpoint%;Microsoft.Network;
;;;;;Traffic Manager;;%DNS Queries%;Microsoft.Network;
;;;;;Traffic Manager;;%Real User Measurements;Microsoft.Network;
;;;;;Traffic Manager;;%Traffic View%;Microsoft.Network;
;;;;;Azure Firewall;;Deployment;Microsoft.Network;
;;;;;Azure Firewall;;Data Processed;Microsoft.Network;
;;;;;Notification Hubs;;;Microsoft.NotificationHubs;
;;;;;Power BI;Embedded;;Microsoft.PowerBI;
;;;;;Power BI Embedded;Power BI Embedded;A1 Node;Microsoft.PowerBIDedicated;
;;;;;Power BI Embedded;;A1;Microsoft.PowerBIDedicated;
