IT Tower;Service Family;Service Type;Service Sub Type;Service Usage Type;Meter Category;Meter Sub-Category;Meter Name;Consumed Service;
;;;;;App Center;;;microsoft.appcenter;
;;;;;App Configuration;;Free Instances;microsoft.appconfiguration;
;;;;;App Services;API Management;;Microsoft.ApiManagement;
;;;;;App Services;Automation;;Microsoft.Automation;
;;;;;App Services;Key Vault;HSM-key;Microsoft.KeyVault;
;;;;;App Services;Key Vault;Operations%;Microsoft.KeyVault;
;;;;;App Services;Automation;%Automation DSC%;microsoft.automation;
;;;;;App Services;Operational Insights;;microsoft.operationalinsights;
;;;;;App Services;Operational Insights;;Operational Insights;
;;;;;App Services;App Services;Log Analytics Data Ingestion;microsoft.insights;
;;;;;Application Insights;Basic;Continuous Export;microsoft.insights;
;;;;;Application Insights;Enterprise;Overage Data;microsoft.insights;
;;;;;Application Insights;;Enterprise Node;microsoft.insights;
;;;;;Application Insights;;Enterprise Overage Data;microsoft.insights;
;;;;;Automation and Control;OMS;Automation Watcher;Microsoft.Automation;
;;;;;Automation and Control;OMS;Update Management;Microsoft.Automation;
;;;;;Automation;;;Microsoft.Automation;
;;;;;Azure App Service;Isolated Plan%;;Microsoft.Web;
;;;;;Data Services;;;;
;;;;;SQL Data Warehouse;Compute Optimized%;100 DWUs;Microsoft.Sql;
;;;;;Azure Bastion;;Basic;Microsoft.Network;
;;;;;Azure Bastion;;Data Transfer%;Microsoft.Network;
;;;;;Bandwidth;;Data Transfer%;%Compute;
;;;;;Bandwidth;;%Data Transfer%;Microsoft.ApiManagement;
;;;;;Bandwidth;;%Data Transfer%;Microsoft.Batch;
;;;;;Bandwidth;;%Data Transfer%;%Storage;
;;;;;Azure Firewall;;Deployment;Microsoft.Network;
;;;;;Azure Firewall;;Data Processed;Microsoft.Network;
;;;;;Notification Hubs;;;Microsoft.NotificationHubs;
;;;;;Power BI;Embedded;;Microsoft.PowerBI;
;;;;;Power BI Embedded;Power BI Embedded;A1 Node;Microsoft.PowerBIDedicated;
;;;;;Power BI Embedded;;A1;Microsoft.PowerBIDedicated;
;;;;;Recovery Services;Backup;Protected Instances;;
;;;;;Recovery Services;Site Recovery;VM replicated to Azure;Microsoft.RecoveryServices;
;;;;;Virtual Machines Licenses;;;;
;;;;;Virtual Machines;Red Hat Enterprise Linux%;Compute Hours;%Compute;
;;;;;Virtual Machines;SQL Server%;Compute Hours;;
;;;;;Virtual Machines;BizTalk Server;Compute Hours;%Compute;
;;;;;Virtual Machines;BizTalk Server Standard%;Compute Hours;%Compute;
;;;;;Virtual Machines;Java Development Environment%;Compute Hours;Unassigned;
;;;;;Virtual Machines;Reservation%;Compute Hours;%Compute;
